Year-Month,Average_achieved_hotel_room_rate(HKD)
201910,1134
201911,1119
201912,1053
202001,1012
202002,964
202003,904
202004,849
202005,863
202006,878
202007,870
202008,855
202009,829
202010,850
202011,842
202012,908
202101,844
202102,870
202103,828
202104,855
202105,814
202106,810
202107,844
202108,863
202109,842
202110,881
202111,859
202112,1009
202201,932
202202,980
202203,1068
202204,1095
202205,1066
202206,1092
202207,1099
202208,1154
202209,1142
202210,1023
202211,1006
202212,1081
202301,1048
202302,1162
202303,1390
202304,1532
202305,1356
202306,1323
202307,1380
202308,1477
202309,1400
202310,1533
202311,1497
202312,1646
202401,1444
202402,1492
202403,1356
202404,1401
202405,1301
202406,1213
202407,1202
202408,1231
202409,1170
